  1   H   2   H                       1.953124999999999289e+01 8.000000000000000444e-01
  2   H   2   H                       1.008987426757812500e+01 1.113043478260869579e+00
  3   H   2   H                       6.146360053539558166e+00 1.426086956521739335e+00
  4   H   2   H                       4.132812499999999112e+00 1.739130434782608869e+00
  5   H   2   H                       2.968121588623957585e+00 2.052173913043478404e+00
  6   H   2   H                       2.234435823961937295e+00 2.365217391304347938e+00
  7   H   2   H                       1.742626286051609519e+00 2.678260869565217916e+00
  8   H   2   H                       1.396975561114115250e+00 2.991304347826087451e+00
  9   H   2   H                       1.144823407202215426e+00 3.304347826086956985e+00
 10   H   2   H                       9.552543685281061903e-01 3.617391304347826519e+00
 11   H   2   H                       8.091496005951913650e-01 3.930434782608696054e+00
 12   H   2   H                       6.941703339156138908e-01 4.243478260869565588e+00
 13   H   2   H                       6.020646378416174560e-01 4.556521739130435122e+00
 14   H   2   H                       5.271444515306120682e-01 4.869565217391304657e+00
 15   H   2   H                       4.653858497364982139e-01 5.182608695652174191e+00
 16   H   2   H                       4.138772332158307532e-01 5.495652173913043725e+00
 17   H   2   H                       3.704697640646850143e-01 5.808695652173913260e+00
 18   H   2   H                       3.335495625645660267e-01 6.121739130434782794e+00
 19   H   2   H                       3.018855003652300417e-01 6.434782608695652328e+00
 20   H   2   H                       2.745252218620469753e-01 6.747826086956521863e+00
 21   H   2   H                       2.507226880050474338e-01 7.060869565217391397e+00
 22   H   2   H                       2.298867757653969002e-01 7.373913043478260931e+00
 23   H   2   H                       2.115442200200650658e-01 7.686956521739130466e+00
 24   H   2   H                       1.953124999999999722e-01 8.000000000000000000e+00
 25   H   2   O                       1.953124999999999289e+01 8.000000000000000444e-01
 26   H   2   O                       1.008987426757812500e+01 1.113043478260869579e+00
 27   H   2   O                       6.146360053539558166e+00 1.426086956521739335e+00
 28   H   2   O                       4.132812499999999112e+00 1.739130434782608869e+00
 29   H   2   O                       2.968121588623957585e+00 2.052173913043478404e+00
 30   H   2   O                       2.234435823961937295e+00 2.365217391304347938e+00
 31   H   2   O                       1.742626286051609519e+00 2.678260869565217916e+00
 32   H   2   O                       1.396975561114115250e+00 2.991304347826087451e+00
 33   H   2   O                       1.144823407202215426e+00 3.304347826086956985e+00
 34   H   2   O                       9.552543685281061903e-01 3.617391304347826519e+00
 35   H   2   O                       8.091496005951913650e-01 3.930434782608696054e+00
 36   H   2   O                       6.941703339156138908e-01 4.243478260869565588e+00
 37   H   2   O                       6.020646378416174560e-01 4.556521739130435122e+00
 38   H   2   O                       5.271444515306120682e-01 4.869565217391304657e+00
 39   H   2   O                       4.653858497364982139e-01 5.182608695652174191e+00
 40   H   2   O                       4.138772332158307532e-01 5.495652173913043725e+00
 41   H   2   O                       3.704697640646850143e-01 5.808695652173913260e+00
 42   H   2   O                       3.335495625645660267e-01 6.121739130434782794e+00
 43   H   2   O                       3.018855003652300417e-01 6.434782608695652328e+00
 44   H   2   O                       2.745252218620469753e-01 6.747826086956521863e+00
 45   H   2   O                       2.507226880050474338e-01 7.060869565217391397e+00
 46   H   2   O                       2.298867757653969002e-01 7.373913043478260931e+00
 47   H   2   O                       2.115442200200650658e-01 7.686956521739130466e+00
 48   H   2   O                       1.953124999999999722e-01 8.000000000000000000e+00
 49   H   3   H   O    0.001000000   -1.000000000   1.000000000 
 50   H   3   H   O    0.001000000    1.000000000   1.000000000 
 51   H   3   H   O    0.001000000   -1.000000000   4.000000000 
 52   H   3   H   O    0.001000000    1.000000000   4.000000000 
 53   H   3   H   O    0.001000000   -1.000000000  16.000000000 
 54   H   3   H   O    0.001000000    1.000000000  16.000000000 
 55   H   3   H   O    0.010000000   -1.000000000   1.000000000 
 56   H   3   H   O    0.010000000    1.000000000   1.000000000 
 57   H   3   H   O    0.010000000   -1.000000000   4.000000000 
 58   H   3   H   O    0.010000000    1.000000000   4.000000000 
 59   H   3   H   O    0.010000000   -1.000000000  16.000000000 
 60   H   3   H   O    0.010000000    1.000000000  16.000000000 
 61   H   3   H   O    0.050000000   -1.000000000   1.000000000 
 62   H   3   H   O    0.050000000    1.000000000   1.000000000 
 63   H   3   H   O    0.050000000   -1.000000000   4.000000000 
 64   H   3   H   O    0.050000000    1.000000000   4.000000000 
 65   H   3   H   O    0.050000000   -1.000000000  16.000000000 
 66   H   3   H   O    0.050000000    1.000000000  16.000000000 
 67   H   3   H   H    0.001000000   -1.000000000   1.000000000 
 68   H   3   H   H    0.001000000    1.000000000   1.000000000 
 69   H   3   H   H    0.001000000   -1.000000000   4.000000000 
 70   H   3   H   H    0.001000000    1.000000000   4.000000000 
 71   H   3   H   H    0.001000000   -1.000000000  16.000000000 
 72   H   3   H   H    0.001000000    1.000000000  16.000000000 
 73   H   3   H   H    0.010000000   -1.000000000   1.000000000 
 74   H   3   H   H    0.010000000    1.000000000   1.000000000 
 75   H   3   H   H    0.010000000   -1.000000000   4.000000000 
 76   H   3   H   H    0.010000000    1.000000000   4.000000000 
 77   H   3   H   H    0.010000000   -1.000000000  16.000000000 
 78   H   3   H   H    0.010000000    1.000000000  16.000000000 
 79   H   3   H   H    0.050000000   -1.000000000   1.000000000 
 80   H   3   H   H    0.050000000    1.000000000   1.000000000 
 81   H   3   H   H    0.050000000   -1.000000000   4.000000000 
 82   H   3   H   H    0.050000000    1.000000000   4.000000000 
 83   H   3   H   H    0.050000000   -1.000000000  16.000000000 
 84   H   3   H   H    0.050000000    1.000000000  16.000000000 
  1   O   2   H                       1.953124999999999289e+01 8.000000000000000444e-01
  2   O   2   H                       1.008987426757812500e+01 1.113043478260869579e+00
