 27   O   2   O                       2.968121589   2.052173913 
 28   O   2   O                       2.234435824   2.365217391 
 29   O   2   O                       1.742626286   2.678260870 
 30   O   2   O                       1.396975561   2.991304348 
 31   O   2   O                       1.144823407   3.304347826 
 32   O   2   O                       0.955254369   3.617391304 
 33   O   2   O                       0.809149601   3.930434783 
 34   O   2   O                       0.694170334   4.243478261 
 35   O   2   O                       0.602064638   4.556521739 
 36   O   2   O                       0.527144452   4.869565217 
 37   O   2   O                       0.465385850   5.182608696 
 38   O   2   O                       0.413877233   5.495652174 
 39   O   2   O                       0.370469764   5.808695652 
 40   O   2   O                       0.333549563   6.121739130 
 41   O   2   O                       0.301885500   6.434782609 
 42   O   2   O                       0.274525222   6.747826087 
 43   O   2   O                       0.250722688   7.060869565 
 44   O   2   O                       0.229886776   7.373913043 
 45   O   2   O                       0.211544220   7.686956522 
 46   O   2   O                       0.195312500   8.000000000 
 47   O   3   H   O    0.001000000   -1.000000000   1.000000000 
 48   O   3   H   O    0.001000000    1.000000000   1.000000000 
 49   O   3   H   O    0.001000000   -1.000000000   4.000000000 
 50   O   3   H   O    0.001000000    1.000000000   4.000000000 
 51   O   3   H   O    0.001000000   -1.000000000  16.000000000 
 52   O   3   H   O    0.001000000    1.000000000  16.000000000 
 53   O   3   H   O    0.010000000   -1.000000000   1.000000000 
 54   O   3   H   O    0.010000000    1.000000000   1.000000000 
 55   O   3   H   O    0.010000000   -1.000000000   4.000000000 
 56   O   3   H   O    0.010000000    1.000000000   4.000000000 
 57   O   3   H   O    0.010000000   -1.000000000  16.000000000 
 58   O   3   H   O    0.010000000    1.000000000  16.000000000 
 59   O   3   H   O    0.050000000   -1.000000000   1.000000000 
 60   O   3   H   O    0.050000000    1.000000000   1.000000000 
 61   O   3   H   O    0.050000000   -1.000000000   4.000000000 
 62   O   3   H   O    0.050000000    1.000000000   4.000000000 
 63   O   3   H   O    0.050000000   -1.000000000  16.000000000 
 64   O   3   H   O    0.050000000    1.000000000  16.000000000 
 65   O   3   H   H    0.001000000   -1.000000000   1.000000000 
 66   O   3   H   H    0.001000000    1.000000000   1.000000000 
 67   O   3   H   H    0.001000000   -1.000000000   4.000000000 
 68   O   3   H   H    0.001000000    1.000000000   4.000000000 
 69   O   3   H   H    0.001000000   -1.000000000  16.000000000 
 70   O   3   H   H    0.001000000    1.000000000  16.000000000 
 71   O   3   H   H    0.010000000   -1.000000000   1.000000000 
 72   O   3   H   H    0.010000000    1.000000000   1.000000000 
 73   O   3   H   H    0.010000000   -1.000000000   4.000000000 
 74   O   3   H   H    0.010000000    1.000000000   4.000000000 
 75   O   3   H   H    0.010000000   -1.000000000  16.000000000 
 76   O   3   H   H    0.010000000    1.000000000  16.000000000 
 77   O   3   H   H    0.050000000   -1.000000000   1.000000000 
 78   O   3   H   H    0.050000000    1.000000000   1.000000000 
 79   O   3   H   H    0.050000000   -1.000000000   4.000000000 
 80   O   3   H   H    0.050000000    1.000000000   4.000000000 
 81   O   3   H   H    0.050000000   -1.000000000  16.000000000 
 82   O   3   H   H    0.050000000    1.000000000  16.000000000 
